Date,RIO,RIO.L
2019-12-31,46.29683303833008,4029.834716796875
2020-01-02,46.7101936340332,4050.865234375
2020-01-03,45.89126968383789,4030.729248046875
2020-01-06,45.587093353271484,3964.50537109375
2020-01-07,45.5402946472168,3973.454833984375
2020-01-08,45.93806457519531,4027.14990234375
2020-01-09,45.46229934692383,3983.298583984375
2020-01-10,45.587093353271484,4016.41064453125
2020-01-13,46.11744689941406,4076.37060546875
2020-01-14,46.195438385009766,4067.421142578125
2020-01-15,46.00825881958008,4047.732666015625
2020-01-16,46.1330451965332,4050.865234375
2020-01-17,47.31854248046875,4162.28369140625
2020-01-20,46.75699234008789,4185.55126953125
2020-01-21,46.75699234008789,4124.24853515625
2020-01-22,47.185951232910156,4119.7744140625
2020-01-23,45.94586181640625,3960.92578125
2020-01-24,45.0489387512207,3972.11181640625
2020-01-27,42.97431182861328,3772.991943359375
2020-01-28,43.29408645629883,3803.419189453125
2020-01-29,43.091304779052734,3794.917724609375
2020-01-30,43.067909240722656,3728.693359375
2020-01-31,41.67182540893555,3654.8623046875
2020-02-03,41.445648193359375,3654.4150390625
2020-02-04,42.872928619384766,3764.489990234375
2020-02-05,43.42667770385742,3824.002685546875
2020-02-06,43.19269561767578,3839.663330078125
2020-02-07,41.90580749511719,3747.039306640625
2020-02-10,41.67182540893555,3689.316650390625
2020-02-11,41.9994010925293,3716.164306640625
2020-02-12,43.11470413208008,3815.053466796875
2020-02-13,42.79492950439453,3775.229248046875
2020-02-14,42.50635528564453,3755.98828125
2020-02-17,42.44396209716797,3769.859619140625
2020-02-18,42.44396209716797,3733.615234375
2020-02-19,42.381568908691406,3760.015625
2020-02-20,42.26457595825195,3767.1748046875
2020-02-21,42.59994888305664,3760.910400390625
2020-02-24,39.955970764160156,3548.814208984375
2020-02-25,39.332027435302734,3504.06787109375
2020-02-26,38.770477294921875,3501.383056640625
2020-02-27,36.85963821411133,3292.418701171875
2020-02-28,36.602264404296875,3228.87890625
2020-03-02,38.03733825683594,3329.110595703125
2020-03-03,38.029537200927734,3419.9453125
2020-03-04,40.15095901489258,3516.149169921875
2020-03-05,38.427303314208984,3419.583740234375
2020-03-06,37.772666931152344,3285.087158203125
2020-03-09,34.213069915771484,3045.149169921875
2020-03-10,37.47808074951172,3148.24755859375
2020-03-11,34.94953536987305,3153.40234375
2020-03-12,31.799089431762695,2781.77978515625
2020-03-13,35.923316955566406,3068.58056640625
2020-03-16,32.944705963134766,3146.841796875
2020-03-17,34.19670104980469,3180.5830078125
2020-03-18,31.119895935058594,3059.208251953125
2020-03-19,31.0626163482666,2973.448974609375
2020-03-20,29.92518424987793,3010.470703125
2020-03-23,29.80243492126465,2905.498046875
2020-03-24,34.50765609741211,3332.418701171875
2020-03-25,36.152435302734375,3580.322998046875
2020-03-26,37.15076446533203,3514.71533203125
2020-03-27,35.65327453613281,3306.64404296875
2020-03-30,36.749794006347656,3443.483642578125
2020-03-31,37.28168869018555,3485.191650390625
2020-04-01,36.14425277709961,3380.6875
2020-04-02,37.649925231933594,3488.00341796875
2020-04-03,36.856170654296875,3525.025146484375
2020-04-06,37.91995620727539,3539.552490234375
2020-04-07,37.420799255371094,3539.552490234375
2020-04-08,37.64173889160156,3465.040771484375
2020-04-09,39.000118255615234,3611.252685546875
2020-04-13,39.17195510864258,3583.134765625
2020-04-14,39.2701530456543,3583.134765625
2020-04-15,37.65810775756836,3438.32861328125
2020-04-16,38.026344299316406,3462.228759765625
2020-04-17,38.9837532043457,3577.04296875
2020-04-20,37.969058990478516,3592.038818359375
2020-04-21,36.52067184448242,3405.52490234375
2020-04-22,37.87904739379883,3531.116943359375
2020-04-23,37.67447280883789,3545.644775390625
2020-04-24,38.05088806152344,3514.71533203125
2020-04-27,38.370025634765625,3524.556396484375
2020-04-28,38.42730712890625,3535.3349609375
2020-04-29,39.990257263183594,3695.60595703125
2020-04-30,37.797218322753906,3453.32470703125
2020-05-01,36.856170654296875,3387.716796875
2020-05-04,36.807071685791016,3333.824462890625
2020-05-05,36.209716796875,3372.720703125
2020-05-06,36.4224739074707,3377.875732421875
2020-05-07,37.47808074951172,3491.75244140625
2020-05-08,38.419124603271484,3443.483642578125
2020-05-11,37.208045959472656,3443.483642578125
2020-05-12,36.81526184082031,3480.50537109375
2020-05-13,37.41261672973633,3496.438720703125
2020-05-14,38.09999084472656,3521.27587890625
2020-05-15,38.942832946777344,3675.92333984375
2020-05-18,42.07691955566406,3960.849609375
2020-05-19,42.40423583984375,4001.6201171875
2020-05-20,42.870670318603516,4017.5537109375
2020-05-21,42.40423583984375,3946.791015625
2020-05-22,42.64972686767578,3995.059814453125
2020-05-26,42.109649658203125,3917.26708984375
2020-05-27,42.82975387573242,3991.779296875
2020-05-28,42.96886444091797,4019.42822265625
2020-05-29,44.12266540527344,4042.391357421875
2020-06-01,44.900047302246094,4102.375
2020-06-02,45.620155334472656,4164.23486328125
2020-06-03,46.258426666259766,4235.46630859375
2020-06-04,46.35662078857422,4189.54052734375
2020-06-05,46.27478790283203,4264.521484375
2020-06-08,47.69044494628906,4276.23681640625
2020-06-09,47.25674819946289,4241.08935546875
2020-06-10,47.92775344848633,4291.2333984375
2020-06-11,45.45648956298828,4212.97216796875
2020-06-12,47.05217742919922,4307.634765625
2020-06-15,46.716670989990234,4199.38134765625
2020-06-16,47.011260986328125,4293.576171875
2020-06-17,47.019439697265625,4297.79345703125
2020-06-18,45.93111038208008,4222.34423828125
2020-06-19,45.022796630859375,4186.72900390625
2020-06-22,45.92292022705078,4241.55859375
