Date,AAL,UAL,DAL,LUV
2016-01-04,,,,
2016-01-05,-0.00957883753375377,-0.009939527518865177,-0.001851284145141463,0.011845673003950008
2016-01-06,0.00779160740466045,-0.007400085070628393,0.005533377318439836,0.020988847724965787
2016-01-07,-0.011307865845666676,-0.05507673251455891,-0.03470973250952092,-0.00023831060895496137
2016-01-08,-0.013287619804757789,-0.06923697055780842,-0.04304221074006698,0.005940376395540348
2016-01-11,0.004146901421791416,-0.07445387857646457,-0.04025696919815358,0.001904806077233534
2016-01-12,0.026295090071904337,-0.08928628018045037,-0.03556117819563598,0.017013671874829495
2016-01-13,-0.01999823195078454,-0.14591279329221063,-0.0795290980207195,-0.0378869389726626
2016-01-14,-0.008838766464825287,-0.15070995620028294,-0.07066768577478211,-0.03615577265811121
2016-01-15,-0.05398578449299629,-0.19692146507129937,-0.08936814504738466,-0.05360389097917073
2016-01-19,-0.05140906855574823,-0.20770853438052228,-0.057085901159114716,-0.05788768198090777
2016-01-20,-0.04627556760443152,-0.20903746865800787,-0.0629779087011082,-0.0654922622470484
2016-01-21,-0.02775888076364641,-0.20439394682840506,-0.0449749967289681,-0.060416089801969886
2016-01-22,-0.018503056627489745,-0.17419068752700984,-0.039829233511067486,-0.07315511557939969
2016-01-25,-0.05089452114712678,-0.1802019249166511,-0.057521166851771444,-0.09388122612427985
2016-01-26,-0.03153583414704242,-0.16333377795924164,-0.05382747476410632,-0.08944088528743377
2016-01-27,-0.030275296016919473,-0.15322205183645154,-0.0844364780761544,-0.11799154296676573
2016-01-28,-0.07011094404211615,-0.1873331927195716,-0.11901682130887936,-0.14793396208009435
2016-01-29,-0.048069282168310856,-0.14134568122954017,-0.09409839561327527,-0.1091809662283798
2016-02-01,-0.03811642787719327,-0.1294039738536048,-0.07353905316361509,-0.091005767149686
2016-02-02,-0.09964616625119094,-0.17998657049023592,-0.10957083836922532,-0.14022672341702558
2016-02-03,-0.08676700886485111,-0.15616074814615377,-0.10522353425588804,-0.130132546180032
2016-02-04,-0.06827729071306798,-0.13865665137543282,-0.09975900157655948,-0.11104340381686395
2016-02-05,-0.1072363025526184,-0.17119860607039383,-0.1469496889922719,-0.16184626268529145
2016-02-09,-0.12259172858251244,-0.17934094948000512,-0.14766403073141987,-0.17425123245076835
2016-02-10,-0.09721864906812039,-0.15322205183645154,-0.11739776940354707,-0.1660579132220641
2016-02-11,-0.11433623176511487,-0.16864108268807687,-0.13065839611756624,-0.17170129049978522
2016-02-12,-0.07853647305031686,-0.1398968618347678,-0.12388976466819868,-0.14655323421895972
2016-02-16,-0.057863202127197866,-0.12919936274923716,-0.08757196518840082,-0.12363897163019821
2016-02-17,-0.039132711371855144,-0.09421385488915757,-0.054044417316302606,-0.08579885746744864
2016-02-18,-0.03406168731453363,-0.06827387238039284,-0.046265626583027686,-0.07315511557939969
2016-02-19,-0.02851318863805119,-0.03271791254658929,-0.04068496957154455,-0.06523778734037533
2016-02-23,-0.01303988887518237,-0.002881324619615988,0.005942050343036964,-0.021195332075790496
2016-02-24,-0.006129723764039863,0.011620721052559624,0.005737695734238546,-0.014402516751823136
