Date,RIO,RIO.L
2018-12-31,33.665409088134766,3163.217041015625
2019-01-02,32.88071823120117,3129.718994140625
2019-01-03,32.39462661743164,3089.436767578125
2019-01-04,34.200111389160156,3217.06787109375
2019-01-07,34.50565719604492,3248.869873046875
2019-01-08,34.92925262451172,3274.7353515625
2019-01-09,35.30424118041992,3312.04931640625
2019-01-10,35.13063430786133,3292.54443359375
2019-01-11,35.0750846862793,3279.82373046875
2019-01-14,35.10285949707031,3274.311279296875
2019-01-15,35.200077056884766,3309.08154296875
2019-01-16,35.338958740234375,3289.576171875
2019-01-17,35.87366485595703,3304.84130859375
2019-01-18,35.859771728515625,3328.586181640625
2019-01-21,34.936195373535156,3333.6748046875
2019-01-22,34.936195373535156,3261.166748046875
2019-01-23,34.66537857055664,3189.930419921875
2019-01-24,34.63064956665039,3192.898681640625
2019-01-25,36.29030990600586,3288.72802734375
2019-01-28,36.58891677856445,3345.123291015625
2019-01-29,37.7833137512207,3457.913818359375
2019-01-30,38.30412673950195,3505.404296875
2019-01-31,39.07493591308594,3551.19873046875
2019-02-01,38.866607666015625,3587.24072265625
2019-02-04,39.401309967041016,3618.61865234375
2019-02-05,39.04715347290039,3649.148193359375
2019-02-06,39.33186340332031,3645.331787109375
2019-02-07,39.07493591308594,3618.61865234375
2019-02-08,38.90827178955078,3616.922607421875
2019-02-11,38.73466491699219,3635.579345703125
2019-02-12,38.831886291503906,3641.939453125
2019-02-13,39.10965347290039,3692.82275390625
2019-02-14,39.08187484741211,3686.88671875
2019-02-15,39.68601989746094,3729.713134765625
2019-02-18,40.158226013183594,3703.846923828125
2019-02-19,40.158226013183594,3734.8017578125
2019-02-20,40.57487869262695,3772.96337890625
2019-02-21,40.2901611328125,3724.624267578125
2019-02-22,40.85264205932617,3786.5322265625
2019-02-25,40.762367248535156,3752.6103515625
2019-02-26,40.831809997558594,3719.5361328125
2019-02-27,40.63737487792969,3752.6103515625
2019-02-28,40.415157318115234,3677.133544921875
2019-03-01,40.52626419067383,3694.094482421875
2019-03-04,40.73459243774414,3727.59228515625
2019-03-05,40.915138244628906,3766.60302734375
2019-03-06,41.10263442993164,3797.556640625
2019-03-07,40.93810272216797,3664.956787109375
2019-03-08,40.87827682495117,3643.29150390625
2019-03-11,41.34194564819336,3670.262451171875
2019-03-12,41.37186813354492,3687.50634765625
2019-03-13,41.90285110473633,3698.5595703125
2019-03-14,41.88041305541992,3686.621826171875
2019-03-15,41.865455627441406,3670.70458984375
2019-03-18,42.62079620361328,3773.28271484375
2019-03-19,42.26930236816406,3806.8857421875
2019-03-20,42.36652374267578,3717.572265625
2019-03-21,42.50114440917969,3786.989013671875
2019-03-22,41.98511505126953,3741.447998046875
2019-03-25,42.59088897705078,3802.022216796875
2019-03-26,43.219093322753906,3813.51806640625
2019-03-27,43.12186813354492,3832.972412109375
2019-03-28,43.39109420776367,3876.302978515625
2019-03-29,44.0118293762207,3944.835693359375
2019-04-01,44.75969314575195,4037.686767578125
2019-04-02,45.60477828979492,4071.73193359375
2019-04-03,45.63469696044922,4102.240234375
2019-04-04,45.6496467590332,4057.583251953125
2019-04-05,45.67208480834961,4124.78955078125
2019-04-08,46.63683319091797,4172.09912109375
2019-04-09,46.285335540771484,4170.3310546875
2019-04-10,46.666744232177734,4211.0087890625
2019-04-11,46.412479400634766,4167.677734375
2019-04-12,46.95093536376953,4219.40869140625
2019-04-15,46.71161651611328,4158.392578125
2019-04-16,45.12614822387695,4131.8642578125
2019-04-17,45.21588897705078,4020.885498046875
2019-04-18,45.44772720336914,4067.7529296875
2019-04-22,45.52251434326172,4100.4716796875
2019-04-23,45.32059097290039,4100.4716796875
2019-04-24,44.44559097290039,4027.958984375
2019-04-25,44.3782844543457,4017.7900390625
2019-04-26,44.348365783691406,4019.11669921875
2019-04-29,44.34088897705078,3986.83984375
2019-04-30,44.04922103881836,3948.373291015625
2019-05-01,43.33127212524414,3924.938720703125
2019-05-02,42.95733642578125,3854.637939453125
2019-05-03,44.06417465209961,3897.52587890625
2019-05-06,43.43597412109375,3899.73681640625
2019-05-07,43.593021392822266,3899.73681640625
2019-05-08,43.12934875488281,3910.348388671875
2019-05-09,43.181697845458984,3865.24951171875
2019-05-10,44.02678680419922,3901.50537109375
2019-05-13,42.7479362487793,3862.596435546875
2019-05-14,43.720157623291016,3983.7451171875
2019-05-15,43.593021392822266,3996.566650390625
2019-05-16,44.70734405517578,4075.711181640625
2019-05-17,44.841957092285156,4132.3056640625
2019-05-20,44.677425384521484,4135.4013671875
2019-05-21,44.692386627197266,4100.4716796875
2019-05-22,44.460548400878906,4134.0751953125
2019-05-23,43.951995849609375,4058.468017578125
2019-05-24,44.654991149902344,4104.892578125
2019-05-28,45.34302520751953,4223.388671875
2019-05-29,44.415672302246094,4107.5458984375
2019-05-30,44.071651458740234,4107.5458984375
2019-05-31,43.32379150390625,4011.599853515625
2019-06-03,43.94451904296875,4063.331298828125
2019-06-04,44.31097412109375,4073.058837890625
2019-06-05,43.40605926513672,3997.89306640625
2019-06-06,43.36866760253906,4013.368408203125
2019-06-07,43.458404541015625,3995.6826171875
2019-06-10,43.87721252441406,4056.2568359375
2019-06-11,45.07379913330078,4153.08740234375
2019-06-12,45.088748931884766,4167.23583984375
2019-06-13,46.046016693115234,4249.9169921875
2019-06-14,45.44772720336914,4218.0830078125
2019-06-17,45.36545944213867,4220.7353515625
2019-06-18,46.50221633911133,4313.14404296875
2019-06-19,44.797088623046875,4111.08349609375
2019-06-20,45.1710205078125,4140.70703125
